target_id	length	eff_length	est_counts	tpm
RtGEF	6609	6461.01	1139.72	11.1317
cwo	6461	6313.01	675	6.74729
S6k	4958	4810.01	1684.99	22.1062
Abp1	2998	2850.01	1248	27.6331
Cp190	10722	10574	10916.3	65.1477
noi	2133	1985.01	1763	56.0469
Sin3A	4255	4107.01	2282	35.0632
CG3638	2098	1950.01	19	0.614863
pgant6	2897	2749.01	148.918	3.41847
tgo	2565	2417.01	2125	55.4807
AP-2mu	2548	2400.01	389	10.2282
UQCR-C1	3545	3397.01	9993	185.635
kra	2069	1921.01	15965	524.446
eRF1	2278	2130.01	7839	232.242
noc	3238	3090.01	535	10.9259
Pli	2064	1916.01	442	14.5575
eIF3e	1688	1540.01	3926	160.875
SerRS	3195	3047.01	1159	24.0033
Rpt2	2634	2486.01	11418	289.834
Orc3	3499	3351.01	1420	26.7408
Ssdp	4799	4651.01	3432	46.5653
Bx42	1988	1840.01	8080	277.11
sprt	2809	2661.01	309	7.3278
Uba2	3446	3298.01	31612	604.87
fzr	2561	2413.01	165	4.31506
Nop60B	3315	3167.01	8599	171.341
RpL3	1679	1531.01	16261	670.241
CG13784	7037	6889.01	4427	40.5522
betaTub85D	2477	2329.01	55	1.49023
CG9384	3750	3602.01	358	6.27191
U4-U6-60K	2309	2161.01	3374	98.5258
Hr96	4679	4531.01	411	5.72412
Rga	2728	2580.01	2140.18	52.3469
Reps	3667	3519.01	366	6.5633
CG15097	1903	1755.01	23	0.827008
egh	3750	3602.01	2483	43.5004
ATPsynbeta	2524	2376.01	26042	691.652
CG9801	3582	3434.01	948	17.4208
Traf4	2610	2462.01	4299	110.189
IKKepsilon	1597	1449.01	414	18.0298
REPTOR	4232	4084.01	76.2395	1.17803
Smyd4-4	3791	3643.01	2529	43.8077
CG11851	4394	4246.01	2314	34.391
sgl	2167	2019.01	1292	40.3818
LeuRS	1666	1518.01	478	19.8708
CG9941	5627	5479.01	2340	26.9511
wdb	4964	4816.01	2741	35.9156
Golgin245	5606	5458.01	1018	11.77
nmo	4307	4159.01	4070	61.7542
CG3634	2395	2247.01	600	16.8503
AsnS	2751	2603.01	1605	38.91
CG7985	3589	3441.01	2308	42.3264
eIF2gamma	2322	2174.01	8590.36	249.351
sn	1656	1508.01	1800	75.3234
CG1909	2969	2821.01	233	5.2121
Exo84	3223	3075.01	655	13.4418
Klc	2023	1875.01	1754	59.032
CG5987	2856	2708.01	40	0.932119
kuz	2845	2697.01	331	7.74475
pit	2093	1945.01	4989	161.865
CG6191	5978	5830.01	1917.03	20.7502
CCT6	1780	1632.01	1304	50.4216
pins	3565	3417.01	1694	31.2845
RtcB	2167	2019.01	1580	49.3833
Gmap	4408	4260.01	93	1.37764
Ppa	3872	3724.01	1992	33.7552
Ork1	3825	3677.01	248	4.25617
TyrRS	1752	1604.01	4524	177.982
hyx	2295	2147.01	9457	277.959
wls	2260	2112.01	394	11.7723
CG34309	249	108.348	0	0
CG1550	2234	2086.01	2802	84.7644
CG6231	2310	2162.01	324	9.4569
Akt1	3023	2875.01	2219	48.7057
bib	3086	2938.01	384	8.24783
CG8545	10373	10225	3392	20.9341
Pdk1	4311	4163.01	3453	52.3421
CG1090	3236	3088.01	46	0.940028
CCT5	4342	4194.01	12244	184.228
Atg16	2792	2644.01	364	8.68761
Trc8	2440	2292.01	1299	35.7647
pygo	6163	6015.01	3195	33.5194
Su(z)12	8306	8158.01	3785	29.2782
CDC45L	3706	3558.01	343	6.08343
CG7720	3360	3212.01	2135	41.9453
ari-1	4074	3926.01	1301	20.9116
mus201	7904	7756.01	1390	11.3094
Srp54k	2306	2158.01	2598	75.9709
CCT3	2302	2154.01	1623	47.548
atl	2736	2588.01	2640	64.3724
alphaTub84B	1729	1581.01	155028	6187.81
CCT4	1973	1825.01	9740	336.787
fu	2620	2472.01	3731	95.2438
mbt	13175	13027	63902	309.551
CG8135	2900	2752.01	3233	74.134
Spt20	5237	5089.01	806	9.99456
CCT2	2226	2078.01	4956	150.503
Patr-1	6074	5926.01	3346	35.6308
Dhx15	1759	1611.01	1161	45.4774
kat80	4087	3939.01	164	2.62735
RhoGAP92B	3439	3291.01	4669	89.5275
a	4082	3934.01	137	2.19759
RpL37a	168	42.5132	0	0
CG33169	222	84.7813	374	278.377
ScpX	2149	2001.01	34	1.07224
CG10289	3970	3822.01	1105	18.2445
slmb	2335	2187.01	2998	86.5053
CG17896	2053	1905.01	305	10.1033
Pgi	4720	4572.01	3789	52.2973
AMPKalpha	3574	3426.01	6718	123.741
Hsp60A	2312	2164.01	1027	29.9483
CG5026	3448	3300.01	720	13.7683
CG3168	2639	2491.01	51	1.29198
Sur-8	4037	3889.01	209	3.39132
Sec61alpha	2542	2394.01	614	16.1847
CG13579	2406	2258.01	12	0.335365
CCT8	2382	2234.01	4339	122.565
CG31922	1657	1509.01	462	19.3202
Vps39	2815	2667.01	485	11.4757
mid	2782	2634.01	52	1.2458
tn	4060	3912.01	12	0.193572
CG6966	3709	3561.01	2039	36.1332
CG7971	14903	14755	860.35	3.67958
CCT7	1942	1794.01	1653	58.1446
eIF3d1	2266	2118.01	10719	319.365
l(2)gd1	5965	5817.01	2414	26.1878
eEF1alpha1	2257	2109.01	333216	9970.32
gpp	2899	2751.01	297	6.81281
lola	4528	4380.01	9415	135.646
Pif1	3465	3317.01	2644.73	50.3149
Best1	2501	2353.01	1413	37.8948
CTPsyn	4011	3863.01	6948	113.5
HBS1	6104	5956.01	10075.8	106.755
CaMKII	2647	2499.01	1234	31.1608
ckn	2680	2532.01	73	1.81936
RpL39	532	384.162	37163	6104.62
Dyb	2684	2536.01	815	20.28
TH1	2231	2083.01	850	25.7507
CG17931	1366	1218.01	6321	327.489
MBD-R2	3702	3554.01	522	9.26859
phtf	3844	3696.01	2349	40.1062
Rat1	2960	2812.01	1445	32.4275
Rfx	3091	2943.01	86	1.84403
CG9426	4388	4240.01	158	2.35154
Hip14	2265	2117.01	171	5.09724
Zasp52	5212	5064.01	1428	17.7949
CalpC	4528	4380.01	4431	63.8394
CG11208	2544	2396.01	1225	32.2633
betaeRS	2088	1940.01	4631	150.637
swm	4204	4056.01	730	11.3576
CG5191	4732	4584.01	1067	14.6886
Parp	4054	3906.01	6347	102.541
CG2614	5361	5213.01	4598	55.6599
CCT1	2210	2062.01	2966	90.7699
DAT	3356	3208.01	196.892	3.87305
Vps45	3212	3064.01	776	15.9821
CG42450	2987	2839.01	1225	27.229
Cdep	2435	2287.01	250	6.89817
CG31808	1683	1535.01	17	0.698874
fus	7824	7676.01	418	3.43639
HDAC6	2879	2731.01	311	7.18619
CG5516	917	769.033	6271	514.582
CG30122	5333	5185.01	4647.54	56.5634
oys	4920	4772.01	1142	15.1017
Vang	2760	2612.01	102	2.46426
heph	2345	2197.01	492	14.1317
CG3655	3696	3548.01	215	3.82398
l(2)34Fd	2127	1979.01	1447	46.1405
CG13604	2564	2416.01	2127	55.5559
ghi	409	261.754	470	113.31
CG34172	547	399.138	18	2.84585
Nadsyn	2830	2682.01	1448	34.0698
Mer	3444	3296.01	552	10.5685
LamC	2907	2759.01	65	1.4867
